state,value
Oklahoma,253
Tennessee,215
California,1401
Texas,841
Arizona,408
Montana,54
Massachusetts,64
North Carolina,248
Ohio,250
Alabama,171
Michigan,144
Georgia,319
Minnesota,101
Washington,259
Florida,659
Colorado,281
Oregon,135
New Mexico,171
Maine,37
Maryland,152
Hawaii,42
Idaho,62
Pennsylvania,199
Illinois,206
Louisiana,178
Utah,101
Kentucky,147
New York,184
New Jersey,115
DC,29
Missouri,237
New Hampshire,22
Virginia,148
Delaware,24
Indiana,158
North Dakota,15
South Dakota,28
Arkansas,123
Alaska,52
Kansas,83
Nebraska,42
Iowa,53
South Carolina,137
Mississippi,124
Nevada,149
Connecticut,43
Wisconsin,131
West Virginia,79
Wyoming,23
Vermont,13
Rhode Island,6
