City,State,PD,ORI,Black People Killed by Police (1/1/2013-12/31/2020),Hispanic People Killed by Police (1/1/2013-12/31/2020),Native American People Killed by Police (1/1/2013-12/31/2020),Asian People Killed by Police (1/1/2013-12/31/2020),Pacific Islanders Killed by Police (1/1/2013-12/31/2020),White People Killed by Police (1/1/2013-12/31/2020),Unknown Race People Killed by Police (1/1/2013-12/31/2020),All People Killed by Police (1/1/2013-12/31/2020),Allegedly Armed People Killed by Police (1/1/2013-12/31/2019),Unarmed/Did Not Have an Actual Weapon People Killed by Police (1/1/2013-12/31/2019),Unclear Armed Status People Killed by Police (1/1/2013-12/31/2019),People Armed with Vehicle Killed by Police (1/1/2013-12/31/2019),Total Population (Census ACS 5 Year 2018),Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),Avg_Annual_Police_Homicide_Rate,Avg Annual Police Homicide Rate for Black People,Avg Annual Police Homicide Rate for White People,Avg Annual Police Homicide Rate for Hispanic People,Black-White Disparity,Hispanic-White Disparity,Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),Violent crimes 2019 (if reported by agency),Average Violent Crimes Reported 2013-19,Violent_Crime_Rate,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests,2019 Total Arrests,Estimated Average Arrests per Year 2013-2019,Killings by Police per 10k Arrests
Albuquerque,New Mexico,Albuquerque Police Department,NM0010100,3,22,,,,12,1,38,30,3,5,,559202,15399,220123,22208,15244,319,15563,1666,10429,273814,28.48,8.5,24.4,6.8,10,3.57,1.47,4325,4934,5406,6245,7686,7646,7604,6263.7,11.2,27700,25447,22126,20341,21134,22247,22118,22236,17.1
Anaheim,California,Anaheim Police Department,CA0300100,3,8,,,,3,,14,7,4,2,1,349668,7868,86613,558,57766,1171,58937,359,6576,188757,27.78,5,47.7,4.3,5.3,11.01,1.22,1130,1101,1271,1209,1253,1192,1120,1182.3,3.4,7891,8137,8381,9415,8869,10019,9645,9078,15.4
Anchorage,Alaska,Anchorage Police Department,AK0010100,1,1,2,,1,6,5,16,13,1,1,1,296112,15671,173209,20443,27938,6694,34632,800,24510,26847,34.33,6.8,8,4.3,4.7,1.84,1.08,2435,2605,3226,3422,3564,3824,3584,3237.1,10.9,17601,14748,14387,13294,13871,13973,13655,13988,11.4
Arlington,Texas,Arlington Police Department,TX2200100,7,1,,2,,3,,13,7,4,,2,392462,86186,153476,1029,26720,488,27208,1067,8901,114595,39.74,4.1,10.2,2.4,1.1,4.16,0.45,1837,1854,1946,2188,,1784,2058,1944.5,5,17258,16222,13999,11024,8354,9552,10319,11578,11.2
Atlanta,Georgia,Atlanta Police Department,GAAPD0000,16,,,,,1,1,18,10,6,1,1,479655,246821,180462,582,19807,61,19868,1033,10038,20851,74.12,4.7,8.1,0.7,0,11.7,0,5517,5577,5203,5121,4504,3814,3045,4683,9.8,30505,26958,24601,22161,22581,,,24075,7.5
Aurora,Colorado,Aurora Police Department,CO0010100,8,2,,1,,6,3,20,13,2,4,1,363550,56073,163482,1806,22848,1221,24069,1494,13235,103391,28.72,6.9,17.8,4.6,2.4,3.89,0.53,1436,1448,1660,1939,2239,2716,2807,2035,5.6,21177,20466,20501,17443,15936,15767,14697,17468,11.4
Austin,Texas,Austin Police Department,TX2270100,5,8,,1,,18,,32,27,5,,,935755,69770,452110,1591,67929,252,68181,1694,21847,320562,54.14,4.3,9,5,3.1,1.8,0.63,3123,3581,3497,3903,4032,3720,3953,3687,3.9,37024,36524,33102,30687,28460,24359,24302,29572,10.8
Bakersfield,California,Bakersfield Police Department,CA0150200,3,17,,1,,5,1,27,16,6,5,,375699,26238,125841,1068,27029,730,27759,765,7877,186151,43.39,9,14.3,5,11.4,2.88,2.3,1857,1678,1810,1821,1827,1895,1766,1807.7,4.8,16786,20913,21814,21629,16822,13048,13358,17931,15.1
Baltimore,Maryland,Baltimore Police Department,MDBPD0000,29,,,,,4,1,34,26,7,,1,614700,380636,169285,1353,15862,194,16056,2219,13648,31503,68.9,6.9,9.5,3,0,3.22,0,8725,8346,9542,11010,12430,11100,11101,10322,16.8,47560,46232,32939,29660,29044,25567,24831,31379,10.8
Baton Rouge,Louisiana,Baton Rouge Police Department,LA0170200,11,,,,,,,11,8,2,,1,225362,123580,82419,348,7264,90,7354,309,3043,8309,66.94,6.1,11.1,0,0,No White People were Killed by Police,No White People were Killed by Police,2127,2120,2001,2143,2335,2067,2069,2123.1,9.4,,,15244,13322,12829,10773,11219,12677,8.7
Birmingham,Alabama,Birmingham Police Department,AL0010200,5,,,,,3,,8,6,2,,,212021,148967,49614,459,1955,42,1997,168,3005,7811,62.56,4.7,4.2,7.6,0,0.56,0,2852,3369,3707,,,4025,,3488.3,16.5,,,3,3738,,4920,,2887,27.7
Boston,Massachusetts,Boston Police Department,MA0130100,9,1,,1,,1,1,13,12,1,,,679413,154363,302427,1405,64939,225,65164,5973,16188,133893,69.17,2.4,7.3,0.4,0.9,17.63,2.26,5037,4749,4702,4767,4570,4324,4244,4627.6,6.8,12716,13647,11423,10247,9994,8843,7211,10228,12.7
Buffalo,New York,Buffalo Police Department,NY0140100,1,2,,,,,,3,2,1,,,257518,91978,112762,1004,14252,114,14366,445,7106,29857,65.89,1.5,1.4,0,8.4,No White People were Killed by Police,No White People were Killed by Police,3249,3174,2887,2857,2611,2692,2533,2857.6,11.1,14774,12893,10163,9421,10085,10743,9675,10497,2.9
Chandler,Arizona,Chandler Police Department,AZ0070500,,4,,,,3,,7,4,1,,2,248631,12599,146034,3290,25504,372,25876,318,7452,53062,17.24,3.5,0,2.6,9.4,0,3.67,575,466,490,558,647,606,594,562.3,2.3,6257,6105,6368,6115,6660,6538,6231,6336,11
Charlotte,North Carolina,Charlotte-Mecklenburg Police Department,NC0600100,12,2,,,1,5,1,21,18,1,2,,841611,290429,353013,2135,54822,447,55269,2809,20348,117608,53.4,3.1,5.2,1.8,2.1,2.92,1.2,5093,5054,5948,6560,6304,6482,6982,6060.4,7.2,19087,23669,25309,23740,23632,22021,21651,23337,9
Chesapeake,Virginia,Chesapeake Police Department,VA1030000,2,,,,,,,2,2,,,,237820,69494,137582,417,7636,204,7840,828,7539,14120,41.66,1.1,3.6,0,0,No White People were Killed by Police,No White People were Killed by Police,737,991,897,969,1006,979,1113,956,4,9168,8076,5914,3497,4080,5169,5533,5378,3.7
Chicago,Illinois,Chicago Police Department,ILCPD0000,60,17,,,,3,2,82,58,10,9,5,2718555,808165,892323,3160,172991,400,173391,5426,47950,788140,82.48,3.8,9.3,0.4,2.7,22.08,6.42,25688,24133,24698,30193,29737,27420,25532,26771.6,9.8,112862,100346,84215,61507,57523,78737,,76466,10.7
Chula Vista,California,Chula Vista Police Department,CA0370200,,1,,,,1,1,3,3,,,,266468,10563,47770,144,41209,1455,42664,736,7877,156714,22.05,1.4,0,2.6,0.8,0,0.3,595,612,705,696,808,835,904,736.4,2.8,3935,3426,4022,4601,4118,4213,4061,4074,7.4
Cincinnati,Ohio,Cincinnati Police Department,OHCIP0000,8,1,,,,3,,12,9,3,,,300357,127424,144887,240,6008,218,6226,806,9713,11061,53.42,5,7.8,2.6,11.3,3.03,4.37,2826,2695,2761,2720,2833,2535,2563,2704.7,9,,,,,6971,6704,6687,6787,17.7
Cleveland,Ohio,Cleveland Division of Police,OHCLP0000,10,,,,,1,,11,5,5,,1,387398,189775,130659,629,9043,60,9103,1187,11218,44827,69.02,3.5,6.6,1,0,6.88,0,5751,5186,,6299,5999,5576,5791,5767,14.9,9210,8484,6426,3871,4390,3824,4055,5175,21.3
Colorado Springs,Colorado,Colorado Springs Police Department,CO0210100,4,2,,,,11,2,19,15,4,,,457502,26815,314218,1345,13552,1042,14594,1073,18599,80858,34.71,5.2,18.6,4.4,3.1,4.26,0.71,1893,2039,1983,2301,2479,2617,2815,2303.9,5,17099,20308,22018,20474,21460,16713,19273,20041,9.5
Columbus,Ohio,Columbus Division of Police,OHCOP0000,31,,,,,12,1,44,33,4,6,1,867628,243832,485217,1282,49361,382,49743,2328,33675,51551,53.8,6.3,15.9,3.1,0,5.14,0,1022,4563,4631,4500,4478,4416,4561,4024.4,4.6,12690,8578,9893,10046,9365,10955,11408,10041,43.8
